city,date,gender,match_referees,tv_umpires,first_umpire,second_umpire,win_by,win_with,result,player_of_match,team_1,team_2,elected_first,toss_winner,venue,mergeid
Belfast,2021-07-24,male,K Gallagher,R Black,AJ Neill,M Hawthorne,runs,49.0,South Africa,['T Bavuma'],South Africa,Ireland,bat,South Africa,"Civil Service Cricket Club, Stormont, Belfast",31473231473
Abu Dhabi,2021-03-17,male,RS Madugalle,Ahmed Shah Pakteen,Aleem Dar,Izatullah Safi,runs,48.0,Afghanistan,['Rahmanullah Gurbaz'],Afghanistan,Zimbabwe,field,Zimbabwe,Sheikh Zayed Stadium,31474231474
Abu Dhabi,2021-03-19,male,RS Madugalle,Izatullah Safi,Ahmed Shah Durrani,Aleem Dar,runs,45.0,Afghanistan,['Mohammad Nabi'],Afghanistan,Zimbabwe,bat,Afghanistan,Sheikh Zayed Stadium,31475231475
Abu Dhabi,2021-03-20,male,RS Madugalle,Ahmed Shah Pakteen,Aleem Dar,Izatullah Safi,runs,47.0,Afghanistan,['Najibullah Zadran'],Afghanistan,Zimbabwe,bat,Afghanistan,Sheikh Zayed Stadium,31476231476
Coolidge,2021-03-03,male,RB Richardson,LS Reifer,GO Brathwaite,N Duguid,wickets,4.0,West Indies,['KA Pollard'],Sri Lanka,West Indies,field,West Indies,"Coolidge Cricket Ground, Antigua",31477231477
Coolidge,2021-03-05,male,RB Richardson,GO Brathwaite,LS Reifer,N Duguid,runs,43.0,Sri Lanka,['PWH de Silva'],Sri Lanka,West Indies,bat,Sri Lanka,"Coolidge Cricket Ground, Antigua",31478231478
Coolidge,2021-03-07,male,RB Richardson,GO Brathwaite,JS Wilson,PA Gustard,wickets,3.0,West Indies,['FA Allen'],Sri Lanka,West Indies,bat,Sri Lanka,"Coolidge Cricket Ground, Antigua",31479231479
Lucknow,2021-03-20,female,GS Lakshmi,CK Nandan,BK Ravi,K Srinivasan,wickets,8.0,South Africa,['A Bosch'],India,South Africa,field,South Africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,31480231480
Lucknow,2021-03-21,female,GS Lakshmi,K Srinivasan,CK Nandan,UV Gandhe,wickets,6.0,South Africa,['L Wolvaardt'],India,South Africa,field,South Africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,31481231481
Lucknow,2021-03-23,female,GS Lakshmi,CK Nandan,BK Ravi,K Srinivasan,wickets,9.0,India,['RS Gayakwad'],South Africa,India,field,India,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,31482231482
Bridgetown,2022-01-22,male,RB Richardson,LS Reifer,GO Brathwaite,JS Wilson,wickets,9.0,West Indies,['JO Holder'],England,West Indies,field,West Indies,"Kensington Oval, Bridgetown, Barbados",31483231483
